Column2,Column3,Column7
00-29,0,1.68636
30-59,0,1.616535
00-29,1,1.59326
30-59,1,1.553267
00-29,2,1.539935
30-59,2,1.523217
00-29,3,1.517644
30-59,3,1.526276
00-29,4,1.529154
30-59,4,1.579583
00-29,5,1.596393
30-59,5,1.731125
00-29,6,1.776036
30-59,6,1.971087
00-29,7,2.036104
30-59,7,2.123794
00-29,8,2.153025
30-59,8,2.120079
00-29,9,2.109097
30-59,9,2.081561
00-29,10,2.072382
30-59,10,2.056046
00-29,11,2.0506
30-59,11,2.028199
00-29,12,2.020733
30-59,12,2.011171
00-29,13,2.007984
30-59,13,2.000226
00-29,14,1.99764
30-59,14,1.997694
00-29,15,1.997713
30-59,15,2.029784
00-29,16,2.040474
30-59,16,2.157669
00-29,17,2.196733
30-59,17,2.262461
00-29,18,2.28437
30-59,18,2.273333
00-29,19,2.269654
30-59,19,2.239386
00-29,20,2.229297
30-59,20,2.178758
00-29,21,2.161912
30-59,21,2.064059
00-29,22,2.031441
30-59,22,1.897692
00-29,23,1.853109
30-59,23,1.728047
